top - 12:19:14 up 8 days, 49 min,  1 user,  load average: 2.24, 2.37, 2.59
Tasks: 508 total,   1 running, 505 sleeping,   0 stopped,   2 zombie
%Cpu(s): 22.6 us, 12.8 sy,  0.0 ni, 58.5 id,  5.5 wa,  0.0 hi,  0.6 si,  0.0 st
MiB Mem :  15889.4 total,    190.1 free,  13454.5 used,   2244.8 buff/cache
MiB Swap:   2048.0 total,      0.0 free,   2048.0 used.    835.0 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   2610 mohit.k+  20   0  193460   1544      0 S   0.0   0.0   0:02.73 ibus-x11
   2614 mohit.k+  20   0  237036   2168   1108 S   0.0   0.0   0:03.60 ibus-po+
   2624 mohit.k+  20   0  162968    504      0 S   0.0   0.0   0:44.56 at-spi2+
   2630 mohit.k+  20   0  235600   1000    652 S   0.0   0.0   0:00.10 xdg-per+
   2634 mohit.k+  20   0  802760   2852      0 S   0.0   0.0   0:02.60 gnome-s+
   2641 mohit.k+  20   0 1082372   4632      0 S   0.0   0.0   0:05.30 evoluti+
   2649 mohit.k+  20   0  156832   2440   1248 S   0.0   0.0   0:02.39 dconf-s+
   2652 mohit.k+  20   0  162656   1392    556 S   0.0   0.0   0:00.64 gvfsd-m+
   2661 mohit.k+  20   0 1678204  15380      0 S   0.0   0.1   0:31.92 evoluti+
   2673 mohit.k+  20   0  894696   1696      0 S   0.0   0.0   0:01.63 evoluti+
   2697 mohit.k+  20   0 2659964   4692   1220 S   0.0   0.0   0:06.20 gjs
   2707 mohit.k+  20   0  314204   1420      0 S   0.0   0.0   0:01.69 gvfsd-t+
   2714 mohit.k+  20   0  309672    436      0 S   0.0   0.0   0:01.04 gsd-a11+
   2715 mohit.k+  20   0  574064   4424   1152 S   0.0   0.0   0:19.22 gsd-col+
   2716 mohit.k+  20   0  373628    440      0 S   0.0   0.0   0:01.11 gsd-dat+
   2717 mohit.k+  20   0  311864    640      4 S   0.0   0.0   0:23.97 gsd-hou+
   2720 mohit.k+  20   0  350084   3428   1548 S   0.0   0.0   0:03.99 gsd-key+
   2721 mohit.k+  20   0 1167932   4316    112 S   0.0   0.0   0:13.00 gsd-med+
   2724 mohit.k+  20   0  764772   3588    144 S   0.0   0.0   0:10.14 gsd-pow+
   2728 mohit.k+  20   0  256752    768      0 S   0.0   0.0   0:01.45 gsd-pri+
   2729 mohit.k+  20   0  457104    572      0 S   0.0   0.0   0:01.94 gsd-rfk+
   2731 mohit.k+  20   0  235512    448      0 S   0.0   0.0   0:01.10 gsd-scr+
   2732 mohit.k+  20   0  465060   1876      0 S   0.0   0.0   7:30.87 gsd-sha+
   2733 mohit.k+  20   0  462636    432      0 S   0.0   0.0   0:01.07 gsd-sma+
   2736 mohit.k+  20   0  319364    692    252 S   0.0   0.0   0:01.06 gsd-sou+
   2744 mohit.k+  20   0  458716    680    184 S   0.0   0.0   0:01.15 gsd-usb+
   2746 mohit.k+  20   0  340988   1808      0 S   0.0   0.0   0:04.05 gsd-wac+
   2750 mohit.k+  20   0  314104    484      0 S   0.0   0.0   0:01.12 gsd-wwan
   2763 mohit.k+  20   0  342496   2628      4 S   0.0   0.0   0:05.69 gsd-xse+
   2784 mohit.k+  20   0  231804   1600    488 S   0.0   0.0   0:00.20 gsd-dis+
   2796 mohit.k+  20   0  587728   1096      0 S   0.0   0.0   0:13.97 anydesk
   2802 mohit.k+  20   0 2150872   3760      0 S   0.0   0.0   1:28.21 PanGPUI
   2812 mohit.k+  20   0 1006028   8152     56 S   0.0   0.1   0:08.09 evoluti+
